code,kartez,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,lf_petiole_ind,mass,d15N,d13C,pN,pC,cn,stm_wet,stm_len,stm_d1,stm_d2,rt_wet,rt_len,rt_d1,rt_d2,stm_dry1,stm_dry2,rt_dry1,rt_dry2,length,diam.95%,volume,wet,dry,seed_mass_sum,seed_n
352,ERWR,PJ,0.5287,5,TRUE,0.0963,0.028,FALSE,3.288,-1.271,-29.068428571428573,1.4458371668453116,46.26785830567171,32.0007393409481,0.1087,11.9,2.5,2.5,0.1609,10.1,3.3,3.4,0.0491,0.049,0.0768,0.0768,NA,NA,NA,NA,NA,0.752,1
353,ERWR,PJ,0.1792,5,TRUE,0.0444,0.0127,FALSE,NA,NA,NA,NA,NA,NA,0.0139,7.9,1,0.7,0.5835,36.4,3.3,4.2,0.0041,0.0041,0.2945,0.294,NA,NA,NA,NA,NA,NA,NA
354,ERWR,PJ,0.162,5,TRUE,0.0315,0.011,FALSE,NA,NA,NA,NA,NA,NA,0.0282,13.8,1.4,0.7,0.0544,12.4,2.1,1.9,0.0086,0.0082,0.0245,0.0243,NA,NA,NA,NA,NA,NA,NA
355,BOCU,PJ,3.0817,11,FALSE,0.2647,0.0986,FALSE,3.277,-3.6993124999999996,-16.102625000000003,1.1854000782810938,43.50204845365809,36.69819941022684,0.0561,40.9,1,0.8,0.0366,79.6,0.4,0.5,0.0225,0.0225,0.0162,0.0161,NA,NA,NA,NA,NA,1.892,4
356,BOCU,PJ,1.4696,5,TRUE,0.1456,0.0603,FALSE,NA,NA,NA,NA,NA,NA,0.0742,62.3,0.7,1,0.0226,55.1,0.4,0.4,0.0423,0.0421,0.0093,0.0092,NA,NA,NA,NA,NA,2.402,4
357,BOCU,PJ,2.3346,9,FALSE,0.2147,0.0841,FALSE,3.029,-3.0656499999999998,-15.7345,1.1818443490601576,39.65664379384044,33.55487871594659,0.0793,48.2,0.8,1,0.0307,37.5,0.7,0.7,0.0301,0.0299,0.0097,0.0095,NA,NA,NA,NA,NA,NA,NA
358,BOCU,PJ,1.5672,5,TRUE,0.1514,0.0583,FALSE,NA,NA,NA,NA,NA,NA,0.1942,81.6,1,1.3,0.0268,33.4,0.8,0.5,0.0775,0.0774,0.0104,0.0104,NA,NA,NA,NA,NA,1.041,2
359,BOCU,PJ,2.3263000000000003,6,FALSE,0.2407,0.0947,FALSE,3.062,-2.76265,-16.366500000000002,1.7782867080071418,45.550747211505964,25.61496242782636,0.0885,65.5,0.9,1.2,0.0342,54.8,0.5,0.5,0.0343,0.0343,0.0136,0.0134,NA,NA,NA,NA,NA,1.699,3
360,BRCA3,PJ,1.4174,5,TRUE,0.2022,0.0484,FALSE,3.189,2.22235,-27.6245,1.9592997769809573,48.671293676898095,24.841167364340052,0.3104,28.7,3.3,3.4,1.6723,35.8,6.8,6.9,0.1261,0.1259,0.737,0.7359,NA,NA,NA,NA,NA,2.501,9
361,BRCA3,PJ,3.7497,5,TRUE,0.4307,0.0701,FALSE,3.032,-2.76865,-28.1295,2.2824576213358947,47.165514427068764,20.664354941873295,0.1526,48.3,1.8,2.1,0.2207,25.2,2.7,2.7,0.06,0.0597,0.0793,0.0793,NA,NA,NA,NA,NA,NA,NA
362,BRCA3,PJ,1.6575,5,TRUE,0.1555,0.0242,FALSE,NA,NA,NA,NA,NA,NA,0.088,37.3,1.5,1.3,0.4219,25.8,4.3,4.1,0.0249,0.0247,0.1771,0.1767,NA,NA,NA,NA,NA,NA,NA
